what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1666616888382
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1666616888382
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1666616888422
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1666616888462
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1666616901353
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666616937213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666617118128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666617229822
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666617230182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666620460384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666620461076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624014519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666624068269
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666624094709
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1666624096589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624099219
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624129219
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624129699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624131809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624132229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624132899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624134179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624134979
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1666624136519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1666624177759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666624181318
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1666624195668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1666624195738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1666624216378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666624219558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1666624227618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666624233708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666624236078
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1666624236508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624242938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624242978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624243048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624244478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624249658
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1666624250728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624250998
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1666624250998
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1666624261014
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1666624290833
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1666624301643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1666624302863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1666624310313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1666624324413
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1666624324903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624328193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624328233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624328263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624329533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624333023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624334083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624334733
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1666624335083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624335353
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1666624335353
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1666624345531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624409391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624409551
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1666624415621
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1666624415981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666624416341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666625183460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666625184200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666625185040
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1666625185130
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1666625185420
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1666625185420
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1666625185420
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1666625186420
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1666625186420
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1666625186420
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1666625186420
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1666625186420
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1666625186420
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1666625186420
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1666625186420
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1666625186420
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1666625186440
